iter	Passed	Remaining
0	196	196265
1	226	112780
2	258	86001
3	284	70951
4	311	62081
5	335	55656
6	360	51180
7	383	47586
8	412	45430
9	440	43597
10	471	42408
11	503	41444
12	532	40440
13	563	39657
14	594	39041
15	621	38224
16	645	37331
17	669	36512
18	692	35772
19	717	35140
20	740	34515
21	763	33923
22	786	33399
23	808	32898
24	837	32662
25	866	32463
26	897	32339
27	930	32285
28	961	32180
29	1010	32674
30	1048	32770
31	1093	33081
32	1134	33255
33	1165	33115
34	1198	33031
35	1236	33098
36	1268	33025
37	1290	32669
38	1314	32390
39	1336	32074
40	1359	31802
41	1388	31666
42	1419	31596
43	1452	31569
44	1484	31499
45	1515	31429
46	1535	31130
47	1556	30875
48	1577	30611
49	1598	30368
50	1636	30442
51	1667	30396
52	1695	30289
53	1726	30237
54	1758	30220
55	1780	30008
56	1799	29769
57	1820	29563
58	1843	29395
59	1870	29299
60	1897	29209
61	1929	29186
62	1957	29114
63	1984	29017
64	2017	29025
65	2043	28922
66	2063	28739
67	2085	28582
68	2106	28426
69	2127	28266
70	2153	28179
71	2171	27989
72	2196	27888
73	2229	27898
74	2261	27896
75	2291	27865
76	2322	27834
77	2351	27797
78	2372	27654
79	2393	27520
80	2417	27429
81	2439	27310
82	2462	27208
83	2481	27064
84	2503	26949
85	2525	26845
86	2557	26841
87	2587	26819
88	2618	26807
89	2649	26789
90	2677	26749
91	2698	26628
92	2718	26507
93	2737	26383
94	2756	26263
95	2776	26143
96	2796	26029
97	2820	25957
98	2842	25869
99	2865	25785
100	2884	25678
101	2907	25601
102	2931	25531
103	2963	25530
104	2989	25485
105	3018	25459
106	3047	25435
107	3077	25416
108	3098	25324
109	3119	25238
110	3139	25147
111	3158	25044
112	3180	24965
113	3208	24933
114	3230	24861
115	3250	24768
116	3270	24684
117	3292	24606
118	3312	24521
119	3331	24432
120	3359	24405
121	3387	24375
122	3417	24364
123	3447	24357
124	3474	24324
125	3503	24303
126	3522	24215
127	3542	24133
128	3562	24053
129	3584	23988
130	3606	23927
131	3629	23867
132	3651	23804
133	3673	23740
134	3697	23691
135	3717	23618
136	3741	23566
137	3763	23510
138	3783	23437
139	3806	23380
140	3826	23312
141	3854	23291
142	3882	23267
143	3912	23257
144	3944	23256
145	3972	23233
146	4003	23232
147	4023	23163
148	4045	23104
149	4068	23056
150	4088	22987
151	4107	22917
152	4130	22865
153	4148	22790
154	4168	22722
155	4191	22675
156	4213	22626
157	4240	22599
158	4262	22547
159	4283	22490
160	4305	22437
161	4329	22397
162	4368	22432
163	4423	22546
164	4460	22572
165	4500	22610
166	4532	22607
167	4553	22551
168	4575	22498
169	4598	22450
170	4618	22392
171	4643	22351
